group,page_id,page_instructions,document_id,page_layout,task_id,task_tag,min_number,max_number,metadata,user_response
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,8,ranking,N/A,N/A,"""N/A""","[""Option 2"", ""Option 1"", ""Option 3""]"
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,03761102810872447238,radio_group,N/A,N/A,"{""experiment_name"": ""experiment_10a"", ""loader"": ""ExtractJsonLoader"", ""text_splitter"": {""text_splitter"": ""table_aware_extract_json"", ""chunk_size"": 250, ""separator"": ""\n\n"", ""chunk_overlap"": 50}, ""answer_attribution_generator"": {""llm"": ""turbo"", ""chain"": ""retrieval_qa_chain"", ""chain_config"": {""with_sources"": true, ""assignment"": ""best_match""}, ""retriever_config"": {""es_host"": ""https://search-gentech-wb-public-cluster-hbdtxlgnkouyuwyowj63vy7gpu.us-east-1.es.amazonaws.com"", ""retriever"": ""opensearch"", ""index_name"": ""lipka_experiment_10a"", ""embeddings_config"": {""embeddings"": ""sbert"", ""model"": ""multi-qa-MiniLM-L6-cos-v1""}, ""max_hits"": 100, ""doc_name"": ""lipka_report_financial_spotify_report""}}, ""experiment_id"": ""experiment_10a"", ""document_id"": ""report_financial_spotify_report""}","""Agree"""
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,collection_03761102810872447238,collection,N/A,N/A,"""N/A""","""Agree"""
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,collection_03761102810872447238,collection,N/A,N/A,"""N/A""","""Strongly Agree"""
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,03761102810872447238,radio_group,N/A,N/A,"{""experiment_name"": ""experiment_10a"", ""loader"": ""ExtractJsonLoader"", ""text_splitter"": {""text_splitter"": ""table_aware_extract_json"", ""chunk_size"": 250, ""separator"": ""\n\n"", ""chunk_overlap"": 50}, ""answer_attribution_generator"": {""llm"": ""turbo"", ""chain"": ""retrieval_qa_chain"", ""chain_config"": {""with_sources"": true, ""assignment"": ""best_match""}, ""retriever_config"": {""es_host"": ""https://search-gentech-wb-public-cluster-hbdtxlgnkouyuwyowj63vy7gpu.us-east-1.es.amazonaws.com"", ""retriever"": ""opensearch"", ""index_name"": ""lipka_experiment_10a"", ""embeddings_config"": {""embeddings"": ""sbert"", ""model"": ""multi-qa-MiniLM-L6-cos-v1""}, ""max_hits"": 100, ""doc_name"": ""lipka_report_financial_spotify_report""}}, ""experiment_id"": ""experiment_10a"", ""document_id"": ""report_financial_spotify_report""}","""Agree"""
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,03761102810872447238,checkbox_group,N/A,N/A,"{""experiment_name"": ""experiment_10a"", ""loader"": ""ExtractJsonLoader"", ""text_splitter"": {""text_splitter"": ""table_aware_extract_json"", ""chunk_size"": 250, ""separator"": ""\n\n"", ""chunk_overlap"": 50}, ""answer_attribution_generator"": {""llm"": ""turbo"", ""chain"": ""retrieval_qa_chain"", ""chain_config"": {""with_sources"": true, ""assignment"": ""best_match""}, ""retriever_config"": {""es_host"": ""https://search-gentech-wb-public-cluster-hbdtxlgnkouyuwyowj63vy7gpu.us-east-1.es.amazonaws.com"", ""retriever"": ""opensearch"", ""index_name"": ""lipka_experiment_10a"", ""embeddings_config"": {""embeddings"": ""sbert"", ""model"": ""multi-qa-MiniLM-L6-cos-v1""}, ""max_hits"": 100, ""doc_name"": ""lipka_report_financial_spotify_report""}}, ""experiment_id"": ""experiment_10a"", ""document_id"": ""report_financial_spotify_report""}","[""Option 1"", ""Option 2""]"
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,03761102810872447238,text_entry,N/A,N/A,"{""experiment_name"": ""experiment_10a"", ""loader"": ""ExtractJsonLoader"", ""text_splitter"": {""text_splitter"": ""table_aware_extract_json"", ""chunk_size"": 250, ""separator"": ""\n\n"", ""chunk_overlap"": 50}, ""answer_attribution_generator"": {""llm"": ""turbo"", ""chain"": ""retrieval_qa_chain"", ""chain_config"": {""with_sources"": true, ""assignment"": ""best_match""}, ""retriever_config"": {""es_host"": ""https://search-gentech-wb-public-cluster-hbdtxlgnkouyuwyowj63vy7gpu.us-east-1.es.amazonaws.com"", ""retriever"": ""opensearch"", ""index_name"": ""lipka_experiment_10a"", ""embeddings_config"": {""embeddings"": ""sbert"", ""model"": ""multi-qa-MiniLM-L6-cos-v1""}, ""max_hits"": 100, ""doc_name"": ""lipka_report_financial_spotify_report""}}, ""experiment_id"": ""experiment_10a"", ""document_id"": ""report_financial_spotify_report""}","""This is a test."""
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,03761102810872447238,highlights,1,1000000,"{""experiment_name"": ""experiment_10a"", ""loader"": ""ExtractJsonLoader"", ""text_splitter"": {""text_splitter"": ""table_aware_extract_json"", ""chunk_size"": 250, ""separator"": ""\n\n"", ""chunk_overlap"": 50}, ""answer_attribution_generator"": {""llm"": ""turbo"", ""chain"": ""retrieval_qa_chain"", ""chain_config"": {""with_sources"": true, ""assignment"": ""best_match""}, ""retriever_config"": {""es_host"": ""https://search-gentech-wb-public-cluster-hbdtxlgnkouyuwyowj63vy7gpu.us-east-1.es.amazonaws.com"", ""retriever"": ""opensearch"", ""index_name"": ""lipka_experiment_10a"", ""embeddings_config"": {""embeddings"": ""sbert"", ""model"": ""multi-qa-MiniLM-L6-cos-v1""}, ""max_hits"": 100, ""doc_name"": ""lipka_report_financial_spotify_report""}}, ""experiment_id"": ""experiment_10a"", ""document_id"": ""report_financial_spotify_report""}","[{""@context"": [""https://www.w3.org/ns/anno.jsonld"", ""https://comments.acrobat.com/ns/anno.jsonld""], ""id"": ""e4bf86d5-941c-8ccf-5ch4-fb083a9cab8"", ""type"": ""Annotation"", ""motivation"": ""commenting"", ""bodyValue"": """", ""target"": {""source"": ""1234"", ""selector"": {""node"": {""index"": 0}, ""quadPoints"": [72, 646, 326, 646, 72, 634, 326, 634], ""opacity"": 1, ""subtype"": ""highlight"", ""boundingBox"": [72, 646, 326, 634], ""strokeColor"": ""#F8D147"", ""type"": ""AdobeAnnoSelector""}}, ""creator"": {""id"": ""Guest"", ""name"": ""Guest"", ""type"": ""Person""}, ""created"": ""2023-06-07T20:58:44Z"", ""modified"": ""2023-06-07T20:58:44Z"", ""body_value"": ""Our business exhibited strength and resiliency in Q1.""}]"
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,03761102810872447238,radio_group,N/A,N/A,"{""experiment_name"": ""experiment_12a"", ""loader"": ""ExtractJsonLoader"", ""text_splitter"": {""text_splitter"": ""table_aware_extract_json"", ""chunk_size"": 250, ""separator"": ""\n\n"", ""chunk_overlap"": 50}, ""answer_attribution_generator"": {""llm"": ""turbo"", ""chain"": ""retrieval_qa_chain"", ""chain_config"": {""with_sources"": true, ""assignment"": ""top_k_retrieval""}, ""retriever_config"": {""es_host"": ""https://search-gentech-wb-public-cluster-hbdtxlgnkouyuwyowj63vy7gpu.us-east-1.es.amazonaws.com"", ""retriever"": ""opensearch"", ""index_name"": ""lipka_experiment_12a"", ""embeddings_config"": {""embeddings"": ""sbert"", ""model"": ""multi-qa-MiniLM-L6-cos-v1""}, ""max_hits"": 100, ""doc_name"": ""lipka_report_financial_spotify_report""}}, ""experiment_id"": ""experiment_12a"", ""document_id"": ""report_financial_spotify_report""}","""Strongly Agree"""
0,page_03761102810872447238,<p>Overall page instructions. Read each question and answer statement carefully. Then provide your agreement with each statement provided.</p>,report_financial_spotify_report,pdf_layout,collection_03761102810872447238,collection,N/A,N/A,"""N/A""","""Strongly Agree"""
